ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
RERE	arginine-glutamic acid dipeptide repeats(RERE)	Homo sapiens				GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006338~chromatin remodeling,GO:0006351~transcription, DNA-templated,GO:0006607~NLS-bearing protein import into nucleus,GO:0021691~cerebellar Purkinje cell layer maturation,GO:0021930~cerebellar granule cell precursor proliferation,GO:0021942~radial glia guided migration of Purkinje cell,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048755~branching morphogenesis of a nerve,GO:0048813~dendrite morphogenesis,	GO:0000118~histone deacetylase complex,GO:0005634~nucleus,	GO:0001105~RNA polymerase II transcription coactivator activity,GO:0001106~RNA polymerase II transcription corepressor activity,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0008267~poly-glutamine tract binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,	IPR000679:Zinc finger, GATA-type,IPR000949:ELM2 domain,IPR001005:SANT/Myb domain,IPR001025:Bromo adjacent homology (BAH) domain,IPR002951:Atrophin-like,IPR009057:Homeodomain-like,IPR013088:Zinc finger, NHR/GATA-type,IPR017884:SANT domain,				SM00401:ZnF_GATA,SM00439:BAH,SM00717:SANT,SM01189:SM01189,	3D-structure,Acetylation,Alternative splicing,Chromosomal rearrangement,Coiled coil,Complete proteome,Developmental protein,Isopeptide bond,Metal-binding,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repressor,Transcription,Transcription regulation,Ubl conjugation,Zinc,Zinc-finger,	chain:Arginine-glutamic acid dipeptide repeats protein,compositionally biased region:Arg/Glu-rich (mixed charge),compositionally biased region:His-rich,compositionally biased region:Pro-rich,domain:BAH,domain:ELM2,domain:SANT,helix,modified residue,sequence conflict,splice variant,zinc finger region:GATA-type,
RNPEP	arginyl aminopeptidase(RNPEP)	Homo sapiens				GO:0006508~proteolysis,GO:0043171~peptide catabolic process,GO:0045776~negative regulation of blood pressure,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0030141~secretory granule,GO:0070062~extracellular exosome,	GO:0004177~aminopeptidase activity,GO:0004301~epoxide hydrolase activity,GO:0008235~metalloexopeptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0042277~peptide binding,GO:0070006~metalloaminopeptidase activity,	IPR001930:Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase,IPR014782:Peptidase M1, membrane alanine aminopeptidase, N-terminal,IPR015211:Peptidase M1, leukotriene A4 hydrolase, aminopeptidase C-terminal,IPR015571:Peptidase M1, aminopeptidase B,IPR016024:Armadillo-type fold,				SM01263:SM01263,	Acetylation,Aminopeptidase,Complete proteome,Hydrolase,Metal-binding,Metalloprotease,Phosphoprotein,Polymorphism,Protease,Proteomics identification,Reference proteome,Secreted,Signal,Zinc,	active site:Proton donor,chain:Aminopeptidase B,metal ion-binding site:Zinc; catalytic,modified residue,sequence conflict,sequence variant,
AGO3	argonaute 3, RISC catalytic component(AGO3)	Homo sapiens		h_dicerPathway:Dicer Pathway,		GO:0006402~mRNA catabolic process,GO:0007223~Wnt signaling pathway, calcium modulating pathway,GO:0010501~RNA secondary structure unwinding,GO:0010628~positive regulation of gene expression,GO:0031054~pre-miRNA processing,GO:0035194~posttranscriptional gene silencing by RNA,GO:0035196~production of miRNAs involved in gene silencing by miRNA,GO:0035278~miRNA mediated inhibition of translation,GO:0035279~mRNA cleavage involved in gene silencing by miRNA,GO:0035280~miRNA loading onto RISC involved in gene silencing by miRNA,GO:0048015~phosphatidylinositol-mediated signaling,GO:0072091~regulation of stem cell proliferation,GO:0090625~mRNA cleavage involved in gene silencing by siRNA,GO:1901224~positive regulation of NIK/NF-kappaB signaling,	GO:0000794~condensed nuclear chromosome,GO:0000932~cytoplasmic mRNA processing body,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016020~membrane,GO:0016442~RISC complex,GO:0035068~micro-ribonucleoprotein complex,GO:0070578~RISC-loading complex,	GO:0003725~double-stranded RNA binding,GO:0003727~single-stranded RNA binding,GO:0003743~translation initiation factor activity,GO:0005515~protein binding,GO:0035198~miRNA binding,GO:0044822~poly(A) RNA binding,	IPR003100:Argonaute/Dicer protein, PAZ,IPR003165:Stem cell self-renewal protein Piwi,IPR012337:Ribonuclease H-like domain,IPR014811:Domain of unknown function DUF1785,				SM00949:SM00949,SM00950:SM00950,SM01163:SM01163,	Acetylation,Alternative splicing,Complete proteome,Cytoplasm,Initiation factor,Phosphoprotein,Protein biosynthesis,Proteomics identification,Reference proteome,Ribonucleoprotein,RNA-binding,RNA-mediated gene silencing,Translation regulation,	chain:Protein argonaute-3,domain:PAZ,domain:Piwi,sequence conflict,
AGO4	argonaute 4, RISC catalytic component(AGO4)	Homo sapiens		h_dicerPathway:Dicer Pathway,		GO:0006402~mRNA catabolic process,GO:0007130~synaptonemal complex assembly,GO:0007140~male meiosis,GO:0007223~Wnt signaling pathway, calcium modulating pathway,GO:0008584~male gonad development,GO:0010501~RNA secondary structure unwinding,GO:0010586~miRNA metabolic process,GO:0022604~regulation of cell morphogenesis,GO:0031054~pre-miRNA processing,GO:0035194~posttranscriptional gene silencing by RNA,GO:0035196~production of miRNAs involved in gene silencing by miRNA,GO:0035278~miRNA mediated inhibition of translation,GO:0035279~mRNA cleavage involved in gene silencing by miRNA,GO:0035280~miRNA loading onto RISC involved in gene silencing by miRNA,GO:0043066~negative regulation of apoptotic process,GO:0048015~phosphatidylinositol-mediated signaling,GO:0090625~mRNA cleavage involved in gene silencing by siRNA,	GO:0000932~cytoplasmic mRNA processing body,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016020~membrane,GO:0016442~RISC complex,GO:0035068~micro-ribonucleoprotein complex,GO:0070578~RISC-loading complex,	GO:0003725~double-stranded RNA binding,GO:0003727~single-stranded RNA binding,GO:0005515~protein binding,GO:0035198~miRNA binding,	IPR003100:Argonaute/Dicer protein, PAZ,IPR003165:Stem cell self-renewal protein Piwi,IPR012337:Ribonuclease H-like domain,IPR014811:Domain of unknown function DUF1785,				SM00949:SM00949,SM00950:SM00950,SM01163:SM01163,	Complete proteome,Cytoplasm,Reference proteome,Ribonucleoprotein,RNA-binding,RNA-mediated gene silencing,Translation regulation,	chain:Protein argonaute-4,domain:PAZ,domain:Piwi,modified residue,
ARIH2	ariadne RBR E3 ubiquitin protein ligase 2(ARIH2)	Homo sapiens				GO:0000209~protein polyubiquitination,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0007275~multicellular organism development,GO:0016567~protein ubiquitination,GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process,GO:0048588~developmental cell growth,GO:0070534~protein K63-linked ubiquitination,GO:0070936~protein K48-linked ubiquitination,GO:0071425~hematopoietic stem cell proliferation,GO:1903955~positive regulation of protein targeting to mitochondrion,	GO:0000151~ubiquitin ligase complex,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0031466~Cul5-RING ubiquitin ligase complex,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0016874~ligase activity,GO:0031624~ubiquitin conjugating enzyme binding,GO:0061630~ubiquitin protein ligase activity,	IPR001841:Zinc finger, RING-type,IPR002867:Zinc finger, C6HC-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR017907:Zinc finger, RING-type, conserved site,				SM00184:RING,SM00647:IBR,	Complete proteome,Cytoplasm,Metal-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transferase,Ubl conjugation,Ubl conjugation pathway,Zinc,Zinc-finger,	chain:Protein ariadne-2 homolog,compositionally biased region:Asp/Glu-rich (acidic),compositionally biased region:Poly-Glu,modified residue,sequence conflict,sequence variant,zinc finger region:IBR-type,zinc finger region:RING-type 1; atypical,zinc finger region:RING-type 2,
ARMC9	armadillo repeat containing 9(ARMC9)	Homo sapiens					GO:0070062~extracellular exosome,		IPR006594:LisH dimerisation motif,IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,				SM00667:LisH,	Alternative splicing,Coiled coil,Complete proteome,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:LisH domain-containing protein ARMC9,compositionally biased region:Poly-Ser,domain:LisH,sequence conflict,sequence variant,splice variant,
ARNT	aryl hydrocarbon receptor nuclear translocator(ARNT)	Homo sapiens		h_acrPathway:Ahr Signal Transduction Pathway,h_eponfkbPathway:Erythropoietin mediated neuroprotection through NF-kB,h_hifPathway:Hypoxia-Inducible Factor in the Cardiovascular System,h_vegfPathway:VEGF, Hypoxia, and Angiogenesis,		GO:0001666~response to hypoxia,GO:0001892~embryonic placenta development,GO:0001938~positive regulation of endothelial cell proliferation,GO:0006351~transcription, DNA-templated,GO:0010575~positive regulation of vascular endothelial growth factor production,GO:0030154~cell differentiation,GO:0030522~intracellular receptor signaling pathway,GO:0030949~positive regulation of vascular endothelial growth factor receptor signaling pathway,GO:0033235~positive regulation of protein sumoylation,GO:0042789~mRNA transcription from RNA polymerase II promoter,GO:0043619~regulation of transcription from RNA polymerase II promoter in response to oxidative stress,GO:0045648~positive regulation of erythrocyte differentiation,GO:0045821~positive regulation of glycolytic process,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046886~positive regulation of hormone biosynthetic process,GO:0061418~regulation of transcription from RNA polymerase II promoter in response to hypoxia,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005737~cytoplasm,GO:0090575~RNA polymerase II transcription factor complex,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003705~transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding,GO:0003713~transcription coactivator activity,GO:0004874~aryl hydrocarbon receptor activity,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0017162~aryl hydrocarbon receptor binding,GO:0035326~enhancer binding,GO:0043565~sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,	IPR000014:PAS domain,IPR001067:Nuclear translocator,IPR001610:PAC motif,IPR011598:Myc-type, basic helix-loop-helix (bHLH) domain,IPR013655:PAS fold-3,IPR013767:PAS fold,	hsa04066:HIF-1 signaling pathway,hsa05200:Pathways in cancer,hsa05204:Chemical carcinogenesis,hsa05211:Renal cell carcinoma,			SM00086:PAC,SM00091:PAS,SM00353:HLH,	3D-structure,Acetylation,Activator,Alternative splicing,Complete proteome,Direct protein sequencing,DNA-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Receptor,Reference proteome,Repeat,Transcription,Transcription regulation,	chain:Aryl hydrocarbon receptor nuclear translocator,compositionally biased region:Gln-rich,compositionally biased region:Poly-Arg,compositionally biased region:Poly-Gln,compositionally biased region:Poly-Ser,DNA-binding region:Basic motif,domain:Helix-loop-helix motif,domain:PAC,domain:PAS 1,domain:PAS 2,helix,modified residue,sequence variant,splice variant,strand,turn,
ASNSD1	asparagine synthetase domain containing 1(ASNSD1)	Homo sapiens				GO:0006529~asparagine biosynthetic process,GO:0006541~glutamine metabolic process,	GO:0005829~cytosol,	GO:0004066~asparagine synthase (glutamine-hydrolyzing) activity,GO:0042803~protein homodimerization activity,	IPR001962:Asparagine synthase,IPR009053:Prefoldin,IPR014729:Rossmann-like alpha/beta/alpha sandwich fold,IPR017932:Glutamine amidotransferase type 2 domain,					Amino-acid biosynthesis,Asparagine biosynthesis,Coiled coil,Complete proteome,Glutamine amidotransferase,Polymorphism,Proteomics identification,Reference proteome,	active site:Nucleophile,chain:Asparagine synthetase domain-containing protein 1,domain:Asparagine synthetase,domain:Glutamine amidotransferase type-2,sequence variant,
DNPEP	aspartyl aminopeptidase(DNPEP)	Homo sapiens				GO:0006508~proteolysis,GO:0006518~peptide metabolic process,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0072562~blood microparticle,	GO:0004177~aminopeptidase activity,GO:0005515~protein binding,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0042802~identical protein binding,GO:0070006~metalloaminopeptidase activity,	IPR001948:Peptidase M18,IPR023358:Peptidase M18, domain 2,					3D-structure,Acetylation,Aminopeptidase,Complete proteome,Cytoplasm,Hydrolase,Metal-binding,Metalloprotease,Phosphoprotein,Protease,Proteomics identification,Reference proteome,Signal,Zinc,	chain:Aspartyl aminopeptidase,metal ion-binding site:Zinc,modified residue,sequence conflict,
DARS2	aspartyl-tRNA synthetase 2, mitochondrial(DARS2)	Homo sapiens				GO:0006418~tRNA aminoacylation for protein translation,GO:0043039~tRNA aminoacylation,GO:0070145~mitochondrial asparaginyl-tRNA aminoacylation,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,	GO:0000049~tRNA binding,GO:0003676~nucleic acid binding,GO:0004812~aminoacyl-tRNA ligase activity,GO:0004815~aspartate-tRNA ligase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0042803~protein homodimerization activity,GO:0050560~aspartate-tRNA(Asn) ligase activity,	IPR002312:Aspartyl/Asparaginyl-tRNA synthetase, class IIb,IPR004115:GAD domain,IPR004364:Aminoacyl-tRNA synthetase, class II (D/K/N),IPR004365:Nucleic acid binding, OB-fold, tRNA/helicase-type,IPR004524:Aspartate-tRNA ligase, class IIb, bacterial/mitochondrial-type,IPR006195:Aminoacyl-tRNA synthetase, class II,IPR012340:Nucleic acid-binding, OB-fold,IPR018150:Aminoacyl-tRNA synthetase, class II (D/K/N)-like,	hsa00970:Aminoacyl-tRNA biosynthesis,	611105~Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation,			3D-structure,Acetylation,Aminoacyl-tRNA synthetase,ATP-binding,Complete proteome,Disease mutation,Ligase,Mitochondrion,Nucleotide-binding,Phosphoprotein,Polymorphism,Protein biosynthesis,Reference proteome,Transit peptide,	chain:Aspartyl-tRNA synthetase, mitochondrial,modified residue,sequence variant,transit peptide:Mitochondrion,
DARS	aspartyl-tRNA synthetase(DARS)	Homo sapiens				GO:0006412~translation,GO:0006418~tRNA aminoacylation for protein translation,GO:0006422~aspartyl-tRNA aminoacylation,GO:0006461~protein complex assembly,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0003676~nucleic acid binding,GO:0004046~aminoacylase activity,GO:0004815~aspartate-tRNA ligase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0044822~poly(A) RNA binding,	IPR002312:Aspartyl/Asparaginyl-tRNA synthetase, class IIb,IPR004364:Aminoacyl-tRNA synthetase, class II (D/K/N),IPR004365:Nucleic acid binding, OB-fold, tRNA/helicase-type,IPR004523:Aspartyl-tRNA synthetases,IPR006195:Aminoacyl-tRNA synthetase, class II,IPR012340:Nucleic acid-binding, OB-fold,IPR018150:Aminoacyl-tRNA synthetase, class II (D/K/N)-like,	hsa00970:Aminoacyl-tRNA biosynthesis,	615281~Hypomyelination with brainstem and spinal cord involvement and leg spasticity,			3D-structure,Acetylation,Alternative splicing,Aminoacyl-tRNA synthetase,ATP-binding,Complete proteome,Cytoplasm,Disease mutation,Ligase,Nucleotide-binding,Phosphoprotein,Polymorphism,Protein biosynthesis,Proteomics identification,Reference proteome,	chain:Aspartyl-tRNA synthetase, cytoplasmic,modified residue,region of interest:Binding site for the 3'-end of tRNA,sequence conflict,sequence variant,
ASTN1	astrotactin 1(ASTN1)	Homo sapiens				GO:0001764~neuron migration,GO:0007158~neuron cell-cell adhesion,GO:0007626~locomotory behavior,	GO:0005768~endosome,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0030136~clathrin-coated vesicle,GO:0043204~perikaryon,		IPR000742:Epidermal growth factor-like domain,IPR003961:Fibronectin, type III,IPR013783:Immunoglobulin-like fold,IPR020864:Membrane attack complex component/perforin (MACPF) domain,IPR026995:Astrotactin,				SM00181:EGF,SM00457:MACPF,	Alternative splicing,Cell adhesion,Cell membrane,Complete proteome,Cytoplasmic vesicle,Disulfide bond,EGF-like domain,Endosome,Glycoprotein,Membrane,Methylation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Astrotactin-1,disulfide bond,domain:EGF-like 1,domain:EGF-like 2,domain:EGF-like 3,domain:Fibronectin type-III 1,glycosylation site:N-linked (GlcNAc...),modified residue,sequence conflict,sequence variant,signal peptide,splice variant,transmembrane region,
ATXN7	ataxin 7(ATXN7)	Homo sapiens				GO:0000226~microtubule cytoskeleton organization,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006997~nucleus organization,GO:0007601~visual perception,GO:0016578~histone deubiquitination,GO:0042326~negative regulation of phosphorylation,GO:0043569~negative regulation of insulin-like growth factor receptor signaling pathway,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0015630~microtubule cytoskeleton,GO:0016363~nuclear matrix,GO:0030914~STAGA complex,	GO:0003682~chromatin binding,GO:0005515~protein binding,	IPR013243:SCA7 domain,		164500~Spinocerebellar ataxia 7,			3D-structure,Alternative splicing,Complete proteome,Cytoplasm,Cytoskeleton,Disease mutation,Isopeptide bond,Neurodegeneration,Nucleus,Polymorphism,Proteomics identification,Reference proteome,Spinocerebellar ataxia,Transcription,Transcription regulation,Triplet repeat expansion,Ubl conjugation,	chain:Ataxin-7,compositionally biased region:Gln-rich,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Gln,compositionally biased region:Poly-Pro,compositionally biased region:Poly-Ser,compositionally biased region:Pro-rich,compositionally biased region:Ser-rich,domain:SCA7,modified residue,sequence conflict,sequence variant,splice variant,
ATL2	atlastin GTPase 2(ATL2)	Homo sapiens				GO:0006888~ER to Golgi vesicle-mediated transport,GO:0007029~endoplasmic reticulum organization,GO:0007030~Golgi organization,GO:0051260~protein homooligomerization,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0003924~GTPase activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0042802~identical protein binding,	IPR003191:Guanylate-binding protein, C-terminal,IPR015894:Guanylate-binding protein, N-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					Alternative splicing,Coiled coil,Complete proteome,Endoplasmic reticulum,GTP-binding,Hydrolase,Membrane,Methylation,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:Atlastin-2,modified residue,mutagenesis site,nucleotide phosphate-binding region:GTP,sequence conflict,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
